obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Abudayah & Mathis 2016,2016,,,,88.902,34.78,32
obs002,Agmo & Belzung 1997,1997,7.88,3.27,9.5,55.41,10.02,9.5
obs003,Apfelbeck & Raess 2008,2008,1.32,2.28,10,6.52,3.45,10
obs004,Biondi et al 2010,2010,0.17,0.45,7,0.53,1.32,7
obs005,Biondi et al 2010,2010,0.05,0.13,11,0.26,0.72,11
obs006,Brocke et al. 2006,2006,,,,1.027,0.57,66
obs007,Brown et al 2016,2016,1.08,1.85,25,69.95,17.09,21
obs008,Brown et al. 2013,2013,1.8,0.13,8,1.39,0.17,8
obs009,Brown et al. 2013,2013,-0.1,0.43,14,0.42,0.39,14
obs010,Brown et al. 2013,2013,1.9,0.13,8,1.69,0.25,8
obs011,Brown et al. 2013,2013,2.28,0.27,8,2.05,0.36,8
obs012,Brown et al. 2013,2013,0.42,1.22,14,0.32,0.59,14
obs013,Brown et al. 2013,2013,0.2,1.28,20,0.3,1.6,20
obs014,Brown et al. 2013,2013,-0.06,0.4,19.75,0.06,0.39,19.75
obs015,Brown et al. 2014,2014,2.74,29.91,12,1.16,15.96,12
obs016,Brown et al. 2015a,2015,0.47,2.25,10,0.49,2.24,10
obs017,Brown et al. 2015b,2015,-0.04,0.09,10,0.52,0.43,10
obs018,Brown et al. 2015b,2015,-0.06,0.31,10,-0.08,0.3,10
obs019,Brown et al. 2015b,2015,,,,-0.11,0.31,15
obs020,Brown et al. 2016,2016,2.31,29.63,12,2.04,15.52,12
obs021,Brown et al. 2016,2016,-3.396,26.33410048,12,2.04,15.52,12
obs022,Camin et al 2016,2016,15.91,25.23,10,124.51,152.9,10
obs023,Camin et al 2016,2016,7,6.62,8,91.5,156.98,8
obs024,Chauke et al 2012,2012,,,,5.5,3.57,13
obs025,Chauke et al 2012,2012,,,,0.75,0.74,16
obs026,Chivers et al. 2001,2001,47.889,22.15,25,51.054,23.02,27
obs027,Chivers et al. 2014,2014,-0.01,0.1,11,-0.46,0.15,11
obs028,Coleman & Mellgren 1994,1994,25,20.8,4,78,47,4
obs029,Cornwell-Jones & Kovanic 1981,1981,,,,34.38,18.39,7
obs030,Cornwell-Jones & Kovanic 1981,1981,,,,96.26,12.01,7
obs031,Crane et al. 2015,2015,,,,-5.17,60.55,48
obs032,Dalesman et al. 2007,2007,0.851,0.274342851,24,0.958,0.14,24
obs033,DeSantis et al. 2013,2013,-2.348,49.89114871,20,-21.724,28.9,20
obs034,Dunlop-Hayden & Rehage 2011,2011,0.03,0.158113883,10,-0.363,0.34,10
obs035,Dunlop-Hayden & Rehage 2011,2011,0.341,0.294091822,10,-0.079,0.53,10
obs036,Dunlop-Hayden & Rehage 2011,2011,-0.339,0.433232039,10,-0.581,0.51,10
obs037,Dunlop-Hayden & Rehage 2011,2011,-0.017,0.230846269,10,0.125,0.11,10
obs038,Dunlop-Hayden & Rehage 2011,2011,-0.071,0.24349538,10,-0.214,0.42,10
obs039,Dunlop-Hayden & Rehage 2011,2011,-0.188,0.275118156,10,-0.087,0.15,10
obs040,Freeman et al. 2013,2013,6.575,1.058,4,4.609,1.35,4
obs041,Greenberg 1984,1984,514.1,176.43,5,1032,118.96,5
obs042,Greenberg 1987,1987,,,,959,420.67,7
obs043,Greenberg 1989,1989,28,16.24,6,9.17,8.45,6
obs044,Greenberg 1989,1989,29.5,6.98,6,26,6.69,6
obs045,Greenberg 1990,1990,43,2.53,10,494,298.5,11
obs046,Greenberg 1990,1990,80,4.74,10,131,195.68,11
obs047,Greenberg 1992,1992,33,34.53,10,481.5,726.25,10
obs048,Greenberg 1992,1992,25.5,11.86,10,243,338.46,10
obs049,Hartman & Lawler 2014,2014,30.291,2.265570127,8,72.718,19.47,8
obs050,Joyce et al 2016,2016,-6.34,49.37,20,-8.853,25.9,20
obs051,Joyce et al 2016,2016,0.3,4.04,20,0.116,3.6,20
obs052,Kiesecker & Blaustein 1997,1997,71.6,13.93615765,10,66.196,12.1,10
obs053,Kopp et al 1999,1999,,,,8.68,7.91,10
obs054,Laviola & Loggi 1992,1992,,,,6.5,4.9,24
obs055,Laviola et al 1992,1992,,,,69.5,85.92,8
obs056,Laviola et al 1992,1992,,,,199.1,93.9,8
obs057,Marquis et al. 2004,2004,2.9,6.123724357,6,-1.2,7.84,6
obs058,Marquis et al. 2004,2004,0,22.8537393,6,0.5,6.86,6
obs059,Meagher et al 2015,2015,,,,3.6,4.74,9
obs060,Mettler & Shivik 2007,2007,10.79,5.1,20,0.07,0.27,20
obs061,Meuthen et al 2016,2016,,,,0.04,0.75,15
obs062,Mitchell et al. 2016,2016,-0.054,0.421513938,18.5,-0.22,0.45,18.5
obs063,Moretti et al 2015,2015,,,,22.64,25.58,11
obs064,Moretti et al 2015,2015,,,,2.18,3.28,13
obs065,Murray et al. 2004,2004,0.506,0.151,20,0.64,0.12,20
obs066,Murray et al. 2004,2004,0.466,0.257,20,0.549,0.23,20
obs067,Murray et al. 2004,2004,0.482,0.187,20,0.505,0.27,20
obs068,Murray et al. 2004,2004,0.506,0.071,20,0.426,0.25,20
obs069,Paoletti et al. 2011,2011,5.029,2.469,9,3.474,2.2,9
obs070,Pease & Wayne 2014,2014,0.191,0.137673527,26,0.144,0.12,26
obs071,Pluijmakers et al 2010,2010,1.9,1.34,14.5,2.53,1.68,36
obs072,Polo-Cavia & Gomez-Mestre 2014,2014,39.068,17.67629599,15,40.209,16.2,15
obs073,Polo-Cavia et al. 2010,2010,28.47,15.85212084,15,20.819,13.8,15
obs074,Polo-Cavia et al. 2010,2010,25.401,18.12168908,15,21.39,13.46,15
obs075,Polo-Cavia et al. 2010,2010,21.175,16.55313082,15,17.972,13.8,15
obs076,Polo-Cavia et al. 2010,2010,37.411,17.86607218,15,34.752,13.06,15
obs077,Sarowar et al 2016,2016,5.42,2.25,10,4.99,3.63,10
obs078,Sarowar et al 2016,2016,,,,10.41,8.63,10
obs079,Sarowar et al 2016,2016,,,,72.95,17.25,10
obs080,Siemiatkowski 2004,2004,,,,74.3,48.9,9
obs081,Stryjek & Modlinska 2015,2015,9.82,32.95,13,107.07,81.98,13
obs082,Timmermans et al 1997,1997,2,1.63,4,0.75,0.96,4
obs083,Travaini et al. 2013,2013,0.91,0.08,9.5,0.82,0.19,9.5
obs084,Travaini et al. 2013,2013,0.11,0.22,9.5,0.02,0.06,9.5
