obs_ID,study_ID,year_pub,C_mean,T_mean,C_n,T_n,C_sd,T_sd
obs001,"Adams and Engelhardt, 2009",2009,38,23,6,6,19.59591794,14.69693846
obs002,"Adams and Engelhardt, 2009",2009,22,16,6,6,6.123724357,6.123724357
obs003,"Akhmetzhanova, 2010",2010,111.2,153.2,12,12,46.41896164,56.81126649
obs004,"Akhmetzhanova, 2010",2010,111.2,124.5,12,12,46.41896164,32.56255518
obs005,"Albins and Hixon, 2008",2008,35,7,10,10,34.78505426,6.32455532
obs006,"Alvarez and Cushman, 2002",2002,4.8,3.5,10,10,2.213594362,1.264911064
obs007,"Alvarez and Cushman, 2002",2002,3.5,2.1,10,10,1.58113883,0.948683298
obs008,"Alvarez and Cushman, 2002",2002,3.6,2.1,10,10,1.264911064,1.264911064
obs009,Arthur et al. 2010,2010,7.5,6.5,14,14,2.656576745,1.758578972
obs010,"Barton and Schmitz, 2009",2009,45,36,5,5,22.36067977,20.1246118
obs011,"Barton and Schmitz, 2009",2009,62,60,5,5,17.88854382,20.1246118
obs012,"Barton and Schmitz, 2009",2009,5.8,4.5,5,5,1.118033989,1.341640786
obs013,Bartz et al. 2007,2007,11.7,10.6,15,15,15.49193338,10.84435337
obs014,Bartz et al. 2007,2007,52.9,62.8,15,15,15.10463505,14.71733672
obs015,Bartz et al. 2007,2007,2.1,2.5,15,15,1.161895004,1.161895004
obs016,Bartz et al. 2007,2007,6.8,8.2,15,15,4.647580015,4.647580015
obs017,Baxter et al. 2004,2004,475,300,4,3,200,43.30127019
obs018,Baxter et al. 2004,2004,3.5,2.25,4,3,0.8,0.259807621
obs019,Baxter et al. 2004,2004,0.14,0.05,4,3,0.03,0.017320508
obs020,Baxter et al. 2004,2004,5.25,8.75,4,3,1,1.299038106
obs021,Beekey et al. 2004,2004,3.75,5.5,7,7,0.529150262,0.529150262
obs022,Beekey et al. 2004,2004,4,8,7,7,0.264575131,3.174901573
obs023,Beekey et al. 2004,2004,7.5,12.6,7,7,1.984313483,3.968626967
obs024,Beekey et al. 2004,2004,4,9,7,7,1.058300524,2.38117618
obs025,"Biswas and Mallik, 2010",2010,1.73,1.77,10,10,0.221359436,0.158113883
obs026,"Biswas and Mallik, 2010",2010,1.68,1.84,10,10,0.126491106,0.09486833
obs027,Bloor et al. 2010,2010,23.6,22.8,5,5,14.31083506,10.75548697
obs028,Bloor et al. 2010,2010,23.9,26.7,5,5,12.74558747,13.46112922
obs029,Bonanomi et al. 2009,2009,400,380,3,3,129.9038106,86.60254038
obs030,Bonanomi et al. 2009,2009,0.27,0.35,3,3,0.173205081,0.173205081
obs031,"Braschler and Baur, 2003",2003,0.64,1.29,12,12,0.45033321,0.831384388
obs032,Braschler et al. 2003,2003,0.22,0.18,36,36,2.1,1.08
obs033,Braschler et al. 2003,2003,0.02,0.27,36,36,0.12,1.56
obs034,Braschler et al. 2003,2003,3.11,4.11,9,9,2.16,1.98
obs035,"Brock and Kelt, 2004",2004,28,42,6,6,48.98979486,78.38367177
obs036,"Brock and Kelt, 2004",2004,0.375,0.275,6,6,0.318433667,0.440908154
obs037,Bruschetti et al. 2008,2008,17,7.6,5,5,14.75804865,8.94427191
obs038,Bruschetti et al. 2008,2008,24.4,19.2,5,5,29.9633109,27.50363612
obs039,Bruschetti et al. 2008,2008,30.2,24.2,5,5,27.05642253,32.42298567
