study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Aranjuelo et al. 2011,1,350,700,350,0.6,*,*,Canada,GC,g plant-1,No,Table 1 * Fig. 5; SUM of leaf and stem,*,No,Forest,Evergreen Broadleaf,0.2991,0.3866,0.1018,0.0209,8,8,0.2566,0.0148,,0.1065,0.1155,0.045,0.0438,4,4,0.0811,0.0806,,*,*,*,*,*,*,*,*
Arnone 1999,2,355,680,325,4.0,46°35' N,8°23' E,Sweden,OTC,g N m-2 land,No,Table 1 ,*,No,Grassland,*,0.1630,0.0850,0.3222,0.1490,12,12,-0.6511,0.5817,,0.0821,0.2653,0.0445,0.0446,4,4,1.1729,0.0805,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,3,350,650,300,0.1,*,*,USA,GC,mg,Nitrogen,Table 4,*,Yes,Forest,Broadleaf,13.2000,19.9000,10.5095,6.7550,5,3,0.4105,0.1652,,49.8047,54.6875,4.9805,5.4688,4,4,0.0935,0.005,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,4,350,650,300,0.1,*,*,USA,GC,mg,Nodulation,Table 4,*,No,Forest,Broadleaf,40.4000,45.2000,3.3541,12.0748,5,5,0.1123,0.0157,,87.8906,94.7266,8.7891,9.4727,4,4,0.0749,0.005,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,5,350,650,300,0.1,*,*,USA,GC,mg,Nodulation + Nitrogen,Table 4,*,Yes,Forest,Broadleaf,58.1000,83.8000,14.0872,33.0938,5,5,0.3663,0.0429,,117.1875,139.6484,11.7188,13.9648,4,4,0.1754,0.005,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),6,365,665,300,1.3,*,*,*,GC,g N m-2 land,No,Fig.2c,*,No,Grassland,Holcus,3.4512,3.2779,0.3806,0.2833,6,6,-0.0515,0.0033,,121.0938,150.3906,12.1094,15.0391,4,4,0.2167,0.005,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),7,365,665,300,1.3,*,*,*,GC,g N m-2 land,No,Fig.6c,*,No,Grassland,Festuca,6.1394,4.7319,0.9237,0.4469,6,6,-0.2604,0.0053,,174.8047,210.9375,17.4805,21.0938,4,4,0.1879,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,8,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer without N,Table 1,*,No,Cropland,Wheat,13.7228,14.103,1.3723,1.4103,4,4,0.0273,0.005,,25.3906,38.0859,2.5391,3.8086,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,9,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer witht N,Table 1,50 kg N ha-1; from Zak et al. 2000 (New Phytologist; Table 6),Yes,Cropland,Wheat,20.6514,27.69,2.0651,2.7690,4,4,0.2933,0.005,,49.8047,62.5,4.9805,6.25,4,4,0.2271,0.005,,*,*,*,*,*,*,*,*
Blank & Derner 2004,10,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N,No,Table 2 * Table3,High fertility soil,No,Grassland,*,7.6024,5.4094,0.2620,0.1048,12,12,-0.3403,0.0001,,66.4063,77.1484,6.6406,7.7148,4,4,0.1499,0.005,,*,*,*,*,*,*,*,*
Blank & Derner 2004,11,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N,No,Table 2 * Table3,Low fertility soil,No,Grassland,*,1.0998,0.7722,0.0800,0.0625,12,12,-0.3536,0.001,,100.5859,107.4219,10.0586,10.7422,4,4,0.0658,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,12,380,645,265,0.3,*,*,France,GC,mg,No,Fig. 1; Fraxinus without competition,No COMP,No,Grassland,*,3.5212,3.0347,1.7023,0.6242,6,6,-0.1487,0.046,,121.0938,160.1563,12.1094,16.0156,4,4,0.2796,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,13,380,645,265,0.3,*,*,France,GC,mg,No,Table 1 and Fig. 1; Sum of the two plants,COMP,No,Grassland,*,184.5876,167.1876,9.0186,12.2740,6,6,-0.099,0.0013,,26.087,45.6522,2.6087,4.5652,4,4,0.5596,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,14,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Fig. 1; Fraxinus without competition,No COMP,Yes,Grassland,*,4.3089,4.9344,1.5321,1.3051,6,6,0.1355,0.0327,,79.7101,95.6522,7.971,9.5652,4,4,0.1823,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,15,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Table 1 and Fig. 1; Sum of the two plants,COMP,Yes,Grassland,*,50.9876,45.7876,5.5650,5.5650,6,6,-0.1076,0.0044,,104.3478,121.0145,10.4348,12.1014,4,4,0.1482,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,16,375,550,175,0.5,*,*,*,GC,g N m-2,No,Table 2,375 ppm vs. 550 ppm,No,Grassland,*,3.7000,3.7000,0.5196,0.8660,3,3,0,0.0248,,110.1449,128.2609,11.0145,12.8261,4,4,0.1523,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,17,375,550,175,0.5,*,*,*,GC,g N m-2,Low Nitrogen,Table 2,375 ppm vs. 550 ppm,Yes,Grassland,*,5.2000,5.0000,0.9798,0.2449,6,6,-0.0392,0.0063,,8.6957,13.0435,0.8696,1.3043,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,18,375,550,175,0.5,*,*,*,GC,g N m-2,High Nitrogen,Table 2,375 ppm vs. 550 ppm,Yes,Grassland,*,10.9000,9.5000,1.4697,1.2247,6,6,-0.1375,0.0058,,33.3333,50,3.3333,5,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,19,375,700,325,0.5,*,*,*,GC,g N m-2,No,Table 2,375 ppm vs. 700 ppm,No,Grassland,*,3.7000,4.0000,0.5196,0.3464,3,3,0.078,0.0091,,42.7536,50,4.2754,5,4,4,0.1566,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,20,375,700,325,0.5,*,*,*,GC,g N m-2,Low Nitrogen,Table 2,375 ppm vs. 700 ppm,Yes,Grassland,*,5.2000,5.8000,0.9798,1.4697,6,6,0.1092,0.0166,,50,59.4203,5,5.942,4,4,0.1726,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,21,375,700,325,0.5,*,*,*,GC,g N m-2,High Nitrogen,Table 2,375 ppm vs. 700 ppm,Yes,Grassland,*,10.9000,9.2000,1.4697,0.9798,6,6,-0.1696,0.0049,,13.0435,13.0435,1.3043,1.3043,4,4,0,0.005,,*,*,*,*,*,*,*,*
Calfapietra et al. 2007,22,370,550,180,3.0,42°37'N,11°51'E,Italy,FACE,g N m-2 land,No,Fig. 1,*,No,Forest,Sum of different species,154.0000,157.0000,4.2426,5.1962,3,3,0.0193,0.0006,,33.3333,42.029,3.3333,4.2029,4,4,0.2318,0.005,,*,*,*,*,*,*,*,*
Daepp et al. 2001,23,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 1; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; Vegetative + reproductive,8.0488,7.6829,0.8049,0.7683,6,6,-0.0465,0.0033,,34.7826,42.7536,3.4783,4.2754,4,4,0.2063,0.005,,*,*,*,*,*,*,*,*
Daepp et al. 2001,24,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 2; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; Vegetative + reproductive,15.1829,16.6463,1.5183,1.6646,6,6,0.092,0.0033,,47.1014,62.3188,4.7101,6.2319,4,4,0.28,0.005,,*,*,*,*,*,*,*,*
Daepp et al. 2001,25,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 3; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; Vegetative + reproductive,19.0244,23.4146,1.9024,2.3415,6,6,0.2076,0.0033,,90.4,175.7,130.4234,204.0356,3,3,0.6645,1.1433,,*,*,*,*,*,*,*,*
Daepp et al. 2000,26,350,600,250,6.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Table 2; Sum of yeild and stubble,Low N; different experiment from Daepp et al. 2001,Yes,Grassland,Lolium perenne,91.2000,74.7000,9.1200,7.4700,6,6,-0.1996,0.0033,,0.4,8.3,0.6928,11.0851,3,3,3.0325,1.5945,,*,*,*,*,*,*,*,*
Daepp et al. 2000,27,350,600,250,6.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Table 2; Sum of yeild and stubble,High N; different experiment from Daepp et al. 2001,Yes,Grassland,Lolium perenne,283.6000,268.8000,28.3600,26.8800,6,6,-0.0536,0.0033,,27.8,27.5,9.6,11.4,4,4,-0.0109,0.0728,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,28,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 1,Sediment material,No,Grassland,Spartina,0.9434,1.1321,0.1541,0.3081,6,6,0.1823,0.0168,,22.8,22,6.6,6,4,4,-0.0357,0.0395,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,29,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 1,Sediment material,No,Grassland,Scirpus,9.4969,7.7987,2.6190,2.6190,6,6,-0.197,0.0315,,,,,,,,,,,,,,,,,,
Dakora & Drake 2000,30,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 5,Sediment-free material,No,Grassland,Spartina,0.6000,0.7714,0.2100,0.0000,6,6,0.2513,0.0204,,,,,,,,,,,,,,,,,,
Dakora & Drake 2000,31,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 5,Sediment-free material,No,Grassland,Scirpus,9.7714,6.2571,3.1493,1.8896,6,6,-0.4457,0.0325,,,,,,,,,,,,,,,,,,
de Graaff et al. 2009,32,392,792,400,0.1,*,*,USA,GC,mg plant-1,No,Fig. 3a,Wild,No,Cropland,Wheat,4.8343,4.9714,0.1188,1.1877,3,3,0.028,0.0192,,,,,,,,,,,,,,,,,,
de Graaff et al. 2009,33,392,792,400,0.1,*,*,USA,GC,mg plant-1,No,Fig. 3a,Cultivated,No,Cropland,Wheat,4.5600,5.2800,0.2969,0.0594,3,3,0.1466,0.0015,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (FE),34,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,Low water,Fig. 3; average of species to calculate BNP,Monocultures,No,Grassland,average of five species,0.2004,0.1762,0.0255,0.0242,10,10,-0.1287,0.0035,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (FE),35,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,High water,Fig. 3; average of species to calculate BNP,Monocultures,No,Grassland,average of five species,0.2154,0.2150,0.0215,0.0181,10,10,-0.0019,0.0017,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (FE),36,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,Low water,Fig. 3; sum of species,Mixtures,No,Grassland,average of five species,0.2023,0.1438,0.0279,0.0170,10,10,-0.3413,0.0033,,,,,,,,,,,,,,,,,,
