study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Gray et al. 2013,1,385,585,200,0.3,40°02' N,88°14' W,USA,FACE,number cm-3,No,Fig. 3a,Average across dates,No,Cropland,Soybean,0.1065,0.1155,0.0450,0.0438,4,4,0.0811,0.0806,,*,*,*,*,*,*,*,*,,15.45,23.85,2.8382,2.9288,5,5,0.4342,0.0098
Gray et al. 2013,2,385,585,200,0.3,40°02' N,88°14' W,USA,FACE,number cm-3,Reduced Precipitation,Fig. 3a,Average across dates,No,Cropland,Soybean,0.0821,0.2653,0.0445,0.0446,4,4,1.1729,0.0805,,167.219,102.2058,16.7219,10.2206,5,5,-0.4923,0.004,,*,*,*,*,*,*,*,*
Jin et al. 2012,3,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,No,Fig. 2b,0 mg P kg-1 soil,No,Cropland,Chickpea,49.8047,54.6875,4.9805,5.4688,4,4,0.0935,0.005,,381.832,358.2463,38.1832,35.8246,5,5,-0.0638,0.004,,*,*,*,*,*,*,*,*
Jin et al. 2012,4,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,2 mg P kg-1 soil,No,Cropland,Chickpea,87.8906,94.7266,8.7891,9.4727,4,4,0.0749,0.005,,867.6687,1101.5625,86.7669,110.1563,5,5,0.2387,0.004,,*,*,*,*,*,*,*,*
Jin et al. 2012,5,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,4 mg P kg-1 soil,No,Cropland,Chickpea,117.1875,139.6484,11.7188,13.9648,4,4,0.1754,0.005,,0.6183,0.555,0.0725,0.0538,3,3,-0.108,0.0077,,*,*,*,*,*,*,*,*
Jin et al. 2012,6,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,8 mg P kg-1 soil,No,Cropland,Chickpea,121.0938,150.3906,12.1094,15.0391,4,4,0.2167,0.005,,0.492,0.606,0.0468,0.0335,3,3,0.2084,0.004,,*,*,*,*,*,*,*,*
Jin et al. 2012,7,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,16 mg P kg-1 soil,No,Cropland,Chickpea,174.8047,210.9375,17.4805,21.0938,4,4,0.1879,0.005,,19,17.8,14.207,11.2677,6,6,-0.0652,0.16,,*,*,*,*,*,*,*,*
Jin et al. 2012,8,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,No,Fig. 2b,0 mg P kg-1 soil,No,Cropland,Field pea,25.3906,38.0859,2.5391,3.8086,4,4,0.4055,0.005,,21.5,17.9,17.3914,16.1666,6,6,-0.1833,0.245,,*,*,*,*,*,*,*,*
Jin et al. 2012,9,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,2 mg P kg-1 soil,No,Cropland,Field pea,49.8047,62.5000,4.9805,6.2500,4,4,0.2271,0.005,,29.9,18.7,30.1287,16.4116,6,6,-0.4693,0.2976,,*,*,*,*,*,*,*,*
Jin et al. 2012,10,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,4 mg P kg-1 soil,No,Cropland,Field pea,66.4063,77.1484,6.6406,7.7148,4,4,0.1499,0.005,,36.4,25.6,20.0858,17.6363,6,6,-0.352,0.1298,,*,*,*,*,*,*,*,*
Jin et al. 2012,11,350,550,200,0.2,36°42' N,142°11' E,Australia,FACE,mg plant-1,Phosphorus,Fig. 2b,8 mg P kg-1 soil,No,Cropland,Field pea,100.5859,107.4219,10.0586,10.7422,4,4,0.0658,0.005,,25.3012,26.506,6.2604,2.0868,3,3,0.0465,0.0225,,*,*,*,*,*,*,*,*
