study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Calfapietra et al. 2007,1,370,550,180,3,42°37'N,11°51'E,Italy,FACE,g N m-2 land,No,Fig. 1,*,No,Forest,Sum of different species,54.0000,47.0000,2.4495,3.0000,3,3,-0.1388,0.002,,0.1065,0.1155,0.045,0.0438,4,4,0.0811,0.0806,,*,*,*,*,*,*,*,*
Cheng et al. 2011,2,382,551,169,4,35°43' N,78°40' W,USA,OTC,g N m-2 land,Nitrogen,Fig. 1; Sum of soybean and wheat,*,Yes,Cropland,Sum of soybean and wheat,10.4091,12.5227,0.4491,0.4600,4,4,0.1849,0.0008,,0.0821,0.2653,0.0445,0.0446,4,4,1.1729,0.0805,,*,*,*,*,*,*,*,*
Cheng et al. 2011,3,382,551,169,4,35°43' N,78°40' W,USA,OTC,g N m-2 land,Nitrogen + O3,Fig. 1; Sum of soybean and wheat,*,Yes,Cropland,Sum of soybean and wheat,9.6136,11.5227,0.3792,0.5206,4,4,0.1811,0.0009,,49.8047,54.6875,4.9805,5.4688,4,4,0.0935,0.005,,*,*,*,*,*,*,*,*
Finzi et al. 2002,4,365,560,195,4,35°58' N,79°5' W,USA,FACE,g N m-2 land,No,Table 2,*,No,Forest,sum of pine and deciduous leaves and woody,3.5475,3.8850,0.2977,0.2931,3,3,0.0909,0.0042,,87.8906,94.7266,8.7891,9.4727,4,4,0.0749,0.005,,*,*,*,*,*,*,*,*
Garten et al. 2011,5,391,544,153,11,35°54' N,84°24'W,USA,FACE,g N kg-1,No,Fig. 1b,*,No,Forest,Deciduous,8.3198,7.1380,0.1425,0.1204,3,2,-0.1532,0.0002,,117.1875,139.6484,11.7188,13.9648,4,4,0.1754,0.005,,*,*,*,*,*,*,*,*
Hoosbeek & Scarascia-Mugnozza 2009,6,370,550,180,6,42°37'N,11°51'E,Italy,FACE,g N m-2 land,No,Fig. 2,*,No,Forest,Deciduous,106.0000,147.0000,15.5885,19.0526,3,3,0.327,0.0128,,121.0938,150.3906,12.1094,15.0391,4,4,0.2167,0.005,,*,*,*,*,*,*,*,*
Hungate et al. 2006,7,350,686,336,7,28°38' N,80°42' W,USA,OTC,g N m-2 land,No,Table 1,*,No,Forest,*,1.5915,1.9037,0.1948,0.2728,8,8,0.1791,0.0044,,174.8047,210.9375,17.4805,21.0938,4,4,0.1879,0.005,,*,*,*,*,*,*,*,*
Johnson et al. 2004,8,*,542,*,2,35°54' N,84°20' W,USA,FACE,kg N ha-1 land,No,Table 2,*,No,Forest,*,40.0000,43.0000,4.0000,4.3000,3,2,0.0723,0.0083,,25.3906,38.0859,2.5391,3.8086,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Larsen et al. 2011,9,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,No,Table 2,*,No,Heathland,*,0.0950,0.0530,0.1200,0.0441,6,6,-0.5836,0.3813,,49.8047,62.5,4.9805,6.25,4,4,0.2271,0.005,,*,*,*,*,*,*,*,*
Larsen et al. 2011,10,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Drought,Table 2,*,No,Heathland,*,0.0180,0.0610,0.0098,0.0759,6,6,1.2205,0.3074,,66.4063,77.1484,6.6406,7.7148,4,4,0.1499,0.005,,*,*,*,*,*,*,*,*
Larsen et al. 2011,11,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming,Table 2,*,No,Heathland,*,0.0140,0.0440,0.0098,0.0392,6,6,1.1451,0.214,,100.5859,107.4219,10.0586,10.7422,4,4,0.0658,0.005,,*,*,*,*,*,*,*,*
Larsen et al. 2011,12,350,510,160,2,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming + Drought,Table 2,*,No,Heathland,*,0.0200,0.0550,0.0343,0.0392,6,6,1.0116,0.5749,,121.0938,160.1563,12.1094,16.0156,4,4,0.2796,0.005,,*,*,*,*,*,*,*,*
Lichter et al. 2008,13,365,560,195,9,35°58' N,79°5' W,USA,FACE,g N m-2 land,No,Fig. 1c,*,No,Forest,*,18.1700,23.5500,1.4688,2.3337,3,3,0.2594,0.0055,,26.087,45.6522,2.6087,4.5652,4,4,0.5596,0.005,,*,*,*,*,*,*,*,*
Liu et al. 2007,14,360,560,200,6,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,No,Table 3,*,No,Forest,Aspen,3.4200,3.9000,0.9007,1.1258,3,3,0.1313,0.0509,,79.7101,95.6522,7.971,9.5652,4,4,0.1823,0.005,,*,*,*,*,*,*,*,*
Liu et al. 2007,15,360,560,200,6,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,No,Table 3,*,No,Forest,Birch-Aspen,3.1100,3.5100,0.8314,0.6409,3,3,0.121,0.0349,,104.3478,121.0145,10.4348,12.1014,4,4,0.1482,0.005,,*,*,*,*,*,*,*,*
Liu et al. 2007,16,360,560,200,6,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3,Table 3,*,No,Forest,Aspen,2.5000,3.3000,0.7967,0.1732,3,3,0.2776,0.0348,,110.1449,128.2609,11.0145,12.8261,4,4,0.1523,0.005,,*,*,*,*,*,*,*,*
Liu et al. 2007,17,360,560,200,6,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3,Table 3,*,No,Forest,Birch-Aspen,2.2300,2.7800,0.1039,0.1905,3,3,0.2204,0.0023,,8.6957,13.0435,0.8696,1.3043,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Niklaus et al. 2003,18,360,600,240,6,47°33' N,7°34' E,Switzerland,OTC,g N m-2 land,No,Fig. 7,*,No,Grassland,*,1.0000,1.0000,0.2828,0.2828,8,8,0,0.02,,33.3333,50,3.3333,5,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Norby & Iversen 2006,19,319,544,225,6,35°54'N,84°20' W,USA,FACE,kg N ha-1 land,No,Fig. 4a,*,No,Forest,Sweetgum,37.1901,35.4683,1.0794,0.8358,3,2,-0.0474,0.0006,,42.7536,50,4.2754,5,4,4,0.1566,0.005,,*,*,*,*,*,*,*,*
Polley et al. 1997,20,385,690,305,1,*,*,*,GC,g container-1,No,Fig. 4,385 ppm vs. 690 ppm,No,Forest,A. smallii,0.2404,2.1635,0.0240,0.2163,3,3,2.1972,0.0067,,50,59.4203,5,5.942,4,4,0.1726,0.005,,*,*,*,*,*,*,*,*
Polley et al. 1997,21,385,980,595,1,*,*,*,GC,g container-1,No,Fig. 4,385 ppm vs. 980 ppm,No,Forest,A. smallii,0.2404,6.2500,0.0240,0.6250,3,3,3.258,0.0067,,13.0435,13.0435,1.3043,1.3043,4,4,0,0.005,,*,*,*,*,*,*,*,*
Schlesinger & Lichter 2001,22,365,565,200,3,35°58' N,79°5' W,USA,FACE,g m-2,No,Table 1 (Total N),*,No,Forest,Loblolly pine,16.5500,20.5700,3.8798,1.2990,3,3,0.2174,0.0196,,33.3333,42.029,3.3333,4.2029,4,4,0.2318,0.005,,*,*,*,*,*,*,*,*
Talhelm et al. 2012,23,374,531,157,11,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,No,Fig. 3,*,No,Forest,Aspen,2.3310,2.8803,0.1952,0.2196,3,3,0.2116,0.0043,,34.7826,42.7536,3.4783,4.2754,4,4,0.2063,0.005,,*,*,*,*,*,*,*,*
Talhelm et al. 2012,24,374,531,157,11,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,No,Fig. 3,*,No,Forest,Aspen-Birch,2.2993,2.5634,0.1708,0.2927,3,3,0.1087,0.0062,,47.1014,62.3188,4.7101,6.2319,4,4,0.28,0.005,,*,*,*,*,*,*,*,*
Talhelm et al. 2012,25,374,531,157,11,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,No,Fig. 3,*,No,Forest,Aspen-Maple,1.5704,2.2887,0.3415,0.3171,3,3,0.3767,0.0222,,90.4,175.7,130.4234,204.0356,3,3,0.6645,1.1433,,*,*,*,*,*,*,*,*
Talhelm et al. 2012,26,374,531,157,11,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3,Fig. 3,*,No,Forest,Aspen,1.7923,2.3627,0.1708,0.2440,3,3,0.2763,0.0066,,0.4,8.3,0.6928,11.0851,3,3,3.0325,1.5945,,*,*,*,*,*,*,*,*
Talhelm et al. 2012,27,374,531,157,11,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3,Fig. 3,*,No,Forest,Aspen-Birch,1.6972,2.5634,0.1708,0.1952,3,3,0.4124,0.0053,,27.8,27.5,9.6,11.4,4,4,-0.0109,0.0728,,*,*,*,*,*,*,*,*
Talhelm et al. 2012,28,374,531,157,11,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3,Fig. 3,*,No,Forest,Aspen-Maple,1.5493,1.8451,0.2683,0.2440,3,3,0.1747,0.0158,,22.8,22,6.6,6,4,4,-0.0357,0.0395,,*,*,*,*,*,*,*,*
Torbet et al. 2004,29,357,750,393,3,32.6° N,85.5°W,USA,OTC,kg N ha-1,Nitrogen,Table 4,101 kg N ha-1,Yes,Cropland,sorghum,20.8667,24.5000,2.0867,2.4500,3,3,0.1605,0.0067,,,,,,,,,,,,,,,,,,
Torbet et al. 2004,30,357,750,393,3,32.6° N,85.5°W,USA,OTC,kg N ha-1,Nitrogen,Table 4,34 kg N ha-1,Yes,Cropland,soybean,142.7000,169.7000,14.2700,16.9700,3,3,0.1733,0.0067,,,,,,,,,,,,,,,,,,
Zak et al. 2007 and 2011,31,374,531,157,12,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3; average of contral and O3,Fig. 2; upper right panel,*,No,Forest,Across plant community type,3.5220,4.0800,0.6708,0.8459,3,3,0.1471,0.0264,,,,,,,,,,,,,,,,,,
