study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Andresen et al 2010 (Biogeochemistry),1,*,510,*,2.0,55°53' N,11°58' E,Denmark,FACE,g N m-2 land,No,Fig. 5; average of Deschampsia flexuosa and Calluna vulgaris,*,No,Grassland,Evergreen shrub + Grass,18.0257,14.4134,9.7257,7.3359,6,6,-0.2236,0.0917,,0.1065,0.1155,0.045,0.0438,4,4,0.0811,0.0806,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),2,*,510,*,2.0,55°53' N,11°58' E,Denmark,FACE,g N m-2 land,Drought,Fig. 5; average of Deschampsia flexuosa and Calluna vulgaris,*,No,Grassland,Evergreen shrub + Grass,19.5495,21.4199,7.1513,8.8224,6,6,0.0914,0.0506,,0.0821,0.2653,0.0445,0.0446,4,4,1.1729,0.0805,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),3,*,510,*,2.0,55°53' N,11°58' E,Denmark,FACE,g N m-2 land,Warming,Fig. 5; average of Deschampsia flexuosa and Calluna vulgaris,*,No,Grassland,Evergreen shrub + Grass,16.9538,13.8084,7.0304,7.5237,6,6,-0.2052,0.0781,,49.8047,54.6875,4.9805,5.4688,4,4,0.0935,0.005,,*,*,*,*,*,*,*,*
Andresen et al 2010 (Biogeochemistry),4,*,510,*,2.0,55°53' N,11°58' E,Denmark,FACE,g N m-2 land,Drought + Warming,Fig. 5; average of Deschampsia flexuosa and Calluna vulgaris,*,No,Grassland,Evergreen shrub + Grass,17.8030,15.6839,6.4862,8.0873,6,6,-0.1267,0.0664,,87.8906,94.7266,8.7891,9.4727,4,4,0.0749,0.005,,*,*,*,*,*,*,*,*
Aranjuelo et al 2005,5,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,mg N plant-1,No,Fig. 3 * Fig. 7,*,No,Grassland,Alfalfa,48.7081,49.1364,4.8708,4.9136,4,4,0.0088,0.005,,117.1875,139.6484,11.7188,13.9648,4,4,0.1754,0.005,,*,*,*,*,*,*,*,*
Aranjuelo et al 2005,6,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,mg N plant-1,Warming,Fig. 3 * Fig. 8,*,No,Grassland,Alfalfa,50.7135,64.8394,5.0713,6.4839,4,4,0.2457,0.005,,121.0938,150.3906,12.1094,15.0391,4,4,0.2167,0.005,,*,*,*,*,*,*,*,*
Aranjuelo et al 2005,7,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,mg N plant-1,Drought,Fig. 3 * Fig. 9,*,No,Grassland,Alfalfa,22.8079,23.6859,2.2808,2.3686,4,4,0.0378,0.005,,174.8047,210.9375,17.4805,21.0938,4,4,0.1879,0.005,,*,*,*,*,*,*,*,*
Aranjuelo et al 2005,8,405,730,325,0.2,40.95° N,5.50° W,Spain,GC,mg N plant-1,Drought + Warming,Fig. 3 * Fig. 10,*,No,Grassland,Alfalfa,23.5191,36.7361,2.3519,3.6736,4,4,0.4459,0.005,,25.3906,38.0859,2.5391,3.8086,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Aranjuelo et al. 2011,9,350,700,350,0.6,*,*,Spain,GC,g plant-1,No,Table 1 * Fig. 3,*,No,Forest,Evergreen Broadleaf,0.5228,0.6385,0.1146,0.0700,8,8,0.1999,0.0075,,49.8047,62.5,4.9805,6.25,4,4,0.2271,0.005,,*,*,*,*,*,*,*,*
Arnone 1997,10,335,680,345,2.0,46°34N,8°25E,Switzerland,OTC,g N m-2,No,Fig. 1a,*,No,Grassland,sedge,6.1994,5.7878,1.0173,1.5351,12,12,-0.0687,0.0081,,66.4063,77.1484,6.6406,7.7148,4,4,0.1499,0.005,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,11,350,650,300,0.1,*,*,USA,GC,mg,Nitrogen,Table 4,*,Yes,Forest,Broadleaf,18.5000,27.6000,12.0748,10.2191,5,3,0.4,0.1309,,100.5859,107.4219,10.0586,10.7422,4,4,0.0658,0.005,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,12,350,650,300,0.1,*,*,USA,GC,mg,Nodulation,Table 4,*,No,Forest,Broadleaf,50.9000,55.6000,4.0249,14.5344,5,5,0.0883,0.0149,,121.0938,160.1563,12.1094,16.0156,4,4,0.2796,0.005,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,13,350,650,300,0.1,*,*,USA,GC,mg,Nodulation + Nitrogen,Table 4,*,Yes,Forest,Broadleaf,75.9000,119.3000,17.8885,35.8535,5,3,0.4522,0.0412,,26.087,45.6522,2.6087,4.5652,4,4,0.5596,0.005,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),14,365,665,300,1.3,*,*,*,GC,g N m-2 land,No,Fig.2c; APNP+BPNP,*,No,Grassland,Holcus,6.7399,6.8158,0.7718,0.3711,6,6,0.0112,0.0027,,79.7101,95.6522,7.971,9.5652,4,4,0.1823,0.005,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),15,365,665,300,1.3,*,*,*,GC,g N m-2 land,No,Fig.6c; APNP+BPNP,Mesocosm,No,Grassland,Festuca,6.2735,7.5603,0.8307,1.3394,6,6,0.1866,0.0082,,104.3478,121.0145,10.4348,12.1014,4,4,0.1482,0.005,,*,*,*,*,*,*,*,*
Berntson & Bazzaz 1997,16,375,700,325,2.0,*,*,USA,GC,g N m-2,No,Fig. 1,*,No,Forest,Yellow birch,2.7200,2.9600,0.2694,0.2694,6,6,0.0846,0.003,,110.1449,128.2609,11.0145,12.8261,4,4,0.1523,0.005,,*,*,*,*,*,*,*,*
Berntson & Bazzaz 1998,17,375,700,325,2.0,*,*,USA,GC,g N m-2,No,Table 1,*,No,Forest,Yellow birch & White birch,10.6000,10.9000,1.0392,1.3856,3,3,0.0279,0.0086,,8.6957,13.0435,0.8696,1.3043,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,18,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer without N,Table 1,*,No,Cropland,Wheat,20.1,22.9,2.0100,2.2900,4,4,0.1304,0.005,,33.3333,50,3.3333,5,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,19,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer witht N,Table 1,50 kg N ha-1; from Zak et al. 2000 (New Phytologist; Table 6),Yes,Cropland,Wheat,29.1,38.4,2.9100,3.8400,4,4,0.2773,0.005,,42.7536,50,4.2754,5,4,4,0.1566,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,20,380,645,265,0.3,*,*,France,GC,mg,No,Fig. 1; Fraxinus without competition,No COMP,No,Grassland,*,5.4672,4.8880,2.0460,0.7718,6,6,-0.112,0.0275,,50,59.4203,5,5.942,4,4,0.1726,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,21,380,645,265,0.3,*,*,France,GC,mg,No,Table 1 and Fig. 1; Sum of the two plants,COMP,No,Grassland,*,297.7120,306.2046,31.6848,37.5788,6,6,0.0281,0.0044,,13.0435,13.0435,1.3043,1.3043,4,4,0,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,22,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Fig. 1; Fraxinus without competition,No COMP,Yes,Grassland,*,6.4170,7.8764,1.6766,1.5899,6,6,0.2049,0.0182,,33.3333,42.029,3.3333,4.2029,4,4,0.2318,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,23,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Table 1 and Fig. 1; Sum of the two plants,COMP,Yes,Grassland,*,100.0888,97.4120,10.6776,11.5280,6,6,-0.0271,0.0042,,34.7826,42.7536,3.4783,4.2754,4,4,0.2063,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,24,375,550,175,0.5,*,*,*,GC,g N m-2,No,Table 2 (ANP + BNP),375 ppm vs. 550 ppm,No,Grassland,*,18.7000,15.7000,4.7053,4.7560,3,3,-0.1749,0.0517,,47.1014,62.3188,4.7101,6.2319,4,4,0.28,0.005,,*,*,*,*,*,*,*,*
Bradford et al. 2012,25,375,550,175,0.5,*,*,*,GC,g N m-2,Low Nitrogen,Table 2 (ANP + BNP),375 ppm vs. 550 ppm,Yes,Grassland,*,20.2000,22.0000,2.4125,6.1286,6,6,0.0854,0.0153,,90.4,175.7,130.4234,204.0356,3,3,0.6645,1.1433,,*,*,*,*,*,*,*,*
Bradford et al. 2012,26,375,550,175,0.5,*,*,*,GC,g N m-2,High Nitrogen,Table 2 (ANP + BNP),375 ppm vs. 550 ppm,Yes,Grassland,*,26.9000,33.5000,3.7310,4.1061,6,6,0.2194,0.0057,,0.4,8.3,0.6928,11.0851,3,3,3.0325,1.5945,,*,*,*,*,*,*,*,*
Bradford et al. 2012,27,375,700,325,0.5,*,*,*,GC,g N m-2,No,Table 2 (ANP + BNP),375 ppm vs. 700 ppm,No,Grassland,*,18.7000,22.0000,4.7053,8.1480,3,3,0.1625,0.0668,,27.8,27.5,9.6,11.4,4,4,-0.0109,0.0728,,*,*,*,*,*,*,*,*
Bradford et al. 2012,28,375,700,325,0.5,*,*,*,GC,g N m-2,Low Nitrogen,Table 2 (ANP + BNP),375 ppm vs. 700 ppm,Yes,Grassland,*,20.2000,24.8000,2.4125,3.7310,6,6,0.2052,0.0061,,22.8,22,6.6,6,4,4,-0.0357,0.0395,,*,*,*,*,*,*,*,*
Bradford et al. 2012,29,375,700,325,0.5,*,*,*,GC,g N m-2,High Nitrogen,Table 2 (ANP + BNP),375 ppm vs. 700 ppm,Yes,Grassland,*,26.9000,40.2000,3.7310,6.9282,6,6,0.4017,0.0082,,,,,,,,,,,,,,,,,,
Cabrerizo et al. 2001,30,360,1000,640,0.1,*,*,*,GC,mg plant-1,No,Table 1,Controlled environment chambers,No,Cropland,Pea,29.0000,40.0000,4.0000,16.0000,16,16,0.3216,0.0112,,,,,,,,,,,,,,,,,,
Calfapietra et al. 2007,31,370,550,180,3.0,42°37'N,11°51'E,Italy,FACE,g N m-2 land,No,Fig. 1,*,No,Forest,Sum of different species,191.0000,192.0000,11.3578,7.1414,3,3,0.0052,0.0016,,,,,,,,,,,,,,,,,,
Daepp et al. 2001,32,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 1; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; ANP + BNP,15.4073,17.1169,1.5407,1.7117,6,6,0.1052,0.0033,,,,,,,,,,,,,,,,,,
Daepp et al. 2001,33,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 2; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; ANP + BNP,25.1829,29.0048,2.5183,2.9005,6,6,0.1413,0.0033,,,,,,,,,,,,,,,,,,
Daepp et al. 2001,34,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 3; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; ANP + BNP,30.7225,38.5090,3.0723,3.8509,6,6,0.2259,0.0033,,,,,,,,,,,,,,,,,,
Daepp et al. 2000,35,350,600,250,6.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Table 2,Low N; different experiment from Daepp et al. 2001,Yes,Grassland,Lolium perenne; ANP + BNP,93.6000,78.2000,9.3600,7.8200,6,6,-0.1798,0.0033,,,,,,,,,,,,,,,,,,
Daepp et al. 2000,36,350,600,250,6.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Table 2,High N; different experiment from Daepp et al. 2001,Yes,Grassland,Lolium perenne; ANP + BNP,285.8000,272.7000,28.5800,27.2700,6,6,-0.0469,0.0033,,,,,,,,,,,,,,,,,,
Dakora & Drake 2000,37,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 3,Sediment material,No,Grassland,Spartina,1.8103,2.0115,0.0000,0.4927,6,6,0.1054,0.01,,,,,,,,,,,,,,,,,,
Dakora & Drake 2000,38,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 3,Sediment material,No,Grassland,Scirpus,26.7529,19.5115,5.9126,6.4053,6,6,-0.3156,0.0261,,,,,,,,,,,,,,,,,,
Dakora & Drake 2000,39,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 7,Sediment-free material,No,Grassland,Spartina,0.8475,1.1864,0.4152,0.4152,6,6,0.3364,0.0604,,,,,,,,,,,,,,,,,,
Dakora & Drake 2000,40,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 7,Sediment-free material,No,Grassland,Scirpus,23.2203,16.6102,7.8882,6.6427,6,6,-0.335,0.0459,,,,,,,,,,,,,,,,,,
de Graaff et al. 2009,41,392,792,400,0.1,*,*,USA,GC,mg plant-1,No,Fig. 3b,Wild; Sum of shoot and root,No,Cropland,Wheat,6.3797,6.9866,0.1770,1.2287,3,3,0.0909,0.0106,,,,,,,,,,,,,,,,,,
de Graaff et al. 2009,42,392,792,400,0.1,*,*,USA,GC,mg plant-1,No,Fig. 3b,Cultivated; Sum of shoot and root,No,Cropland,Wheat,5.3782,6.5376,0.4523,0.4241,3,3,0.1952,0.0038,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (FE),43,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,Low water,Fig. 2,Monocultures,No,Grassland,average of five species,0.3735,0.3554,0.0444,0.0317,10,10,-0.0497,0.0022,,,,,,,,,,,,,,,,,,
