study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Allen et al. 2000,1,365,560,195,2.0,35°58' N,79°5' W,USA,FACE,mg N kg-1 soil 30days-1,No,Fig. 6,*,No,Forest,loblolly pine,2.6780,2.6230,1.2478,1.6881,3,3,-0.0208,0.2104,,0.1065,0.1155,0.045,0.0438,4,4,0.0811,0.0806,,*,*,*,*,*,*,*,*
Arnone 1997,2,335,680,345,2.0,46°34N,8°25E,Switzerland,OTC,mg N g-1 soil  d-1,No,From Zak et al. 2000 (New Phytologist; Table 6),*,No,Grassland,sedge,12.8000,11.0000,1.2800,1.1000,12,12,-0.1515,0.0017,,0.0821,0.2653,0.0445,0.0446,4,4,1.1729,0.0805,,*,*,*,*,*,*,*,*
Berntson & Bazzaz 1997,3,375,700,325,2.0,*,*,USA,GC,mg N g-1 soil  d-1,No,From Zak et al. 2000 (New Phytologist; Table 6),*,No,Forest,Yellow birch,0.1500,0.3500,0.0150,0.0350,6,6,0.8473,0.0033,,49.8047,54.6875,4.9805,5.4688,4,4,0.0935,0.005,,*,*,*,*,*,*,*,*
Berntson & Bazzaz 1998,4,375,700,325,2.0,*,*,USA,GC,mg N g-1 soil  d-1,No,From Zak et al. 2000 (New Phytologist; Table 6),*,No,Forest,Yellow birch & White birch,7.3000,3.3000,0.7300,0.3300,3,3,-0.794,0.0067,,87.8906,94.7266,8.7891,9.4727,4,4,0.0749,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,5,350,700,350,0.1,*,*,*,GC,mg N g-1 soil  d-1,Fertillizer without N,From Zak et al. 2000 (New Phytologist; Table 6),*,No,Cropland,Wheat,0.9500,1.4400,0.0950,0.1440,4,4,0.4159,0.005,,117.1875,139.6484,11.7188,13.9648,4,4,0.1754,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,6,350,700,350,0.1,*,*,*,GC,mg N g-1 soil  d-1,Fertillizer witht N,From Zak et al. 2000 (New Phytologist; Table 6),50 kg N ha-1; from Zak et al. 2000 (New Phytologist; Table 6),Yes,Cropland,Wheat,1.2400,1.6900,0.1240,0.1690,4,4,0.3096,0.005,,121.0938,150.3906,12.1094,15.0391,4,4,0.2167,0.005,,*,*,*,*,*,*,*,*
Billings et al. 2004,7,350,550,200,5.0,36°49'N,115°55'W,USA,FACE,μg g-1 ,No,Fig.5,*,No,Desert,Shrubland; average of cover types,69.9706,72.9914,12.0673,16.4655,3,3,0.0423,0.0269,,174.8047,210.9375,17.4805,21.0938,4,4,0.1879,0.005,,*,*,*,*,*,*,*,*
Blank & Derner 2004,8,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Planted,Table 6,High fertility soil,No,Grassland,*,1.7200,1.6500,0.8000,0.6800,12,12,-0.0415,0.0322,,25.3906,38.0859,2.5391,3.8086,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Blank & Derner 2004,9,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Unplanted,Table 6,High fertility soil,No,Grassland,*,1.2100,1.2800,0.8300,0.3200,6,6,0.0562,0.0888,,49.8047,62.5,4.9805,6.25,4,4,0.2271,0.005,,*,*,*,*,*,*,*,*
Blank & Derner 2004,10,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Planted,Table 6,Low fertility soil,No,Grassland,*,0.1300,0.0500,0.0800,0.0800,12,12,-0.9555,0.2449,,66.4063,77.1484,6.6406,7.7148,4,4,0.1499,0.005,,*,*,*,*,*,*,*,*
Blank & Derner 2004,11,360,699,339,0.3,31°05'N,97°20W,USA,GC,mmol N kg-1 soil,Unplanted,Table 6,Low fertility soil,No,Grassland,*,0.0100,0.0700,0.0600,0.0800,6,6,1.9459,6.2177,,100.5859,107.4219,10.0586,10.7422,4,4,0.0658,0.005,,*,*,*,*,*,*,*,*
Calfapietra et al. 2007,12,370,550,180,3.0,42°37'N,11°51'E,Italy,FACE,μg N g-1 month-1,No,Fig. 5,*,No,Forest,Average across vegetation cover,23.4314,11.9608,10.6959,4.2495,3,3,-0.6724,0.1115,,121.0938,160.1563,12.1094,16.0156,4,4,0.2796,0.005,,*,*,*,*,*,*,*,*
Carnol et al. 2002,13,350,750,400,4.0,*,*,Germany,OTC,μg N 48 h-1 g-1 dry soil,No,Fig. 1,Incubation under CO2; sum of upper and lower layers,No,Forest,Coniferous,17.8571,36.0989,8.3582,6.4076,5,5,0.7039,0.0501,,26.087,45.6522,2.6087,4.5652,4,4,0.5596,0.005,,*,*,*,*,*,*,*,*
Carnol et al. 2002,14,350,750,400,4.0,*,*,Germany,OTC,μg N 48 h-1 g-1 dry soil,No,Fig. 1,Incubation under normal; sum of upper and lower layers,No,Forest,Coniferous,21.1538,21.9780,7.4854,6.3888,5,5,0.0382,0.0419,,79.7101,95.6522,7.971,9.5652,4,4,0.1823,0.005,,*,*,*,*,*,*,*,*
Cheng et al. 2011,15,388,547,159,4.0,35°43' N,78°40' W,USA,OTC,mg N kg-1 soil,Nitrogen,Fig. 4; Sum across layers,*,Yes,Cropland,June,0.9105,1.0067,0.0562,0.0549,4,4,0.1004,0.0017,,104.3478,121.0145,10.4348,12.1014,4,4,0.1482,0.005,,*,*,*,*,*,*,*,*
Cheng et al. 2011,16,388,547,159,4.0,35°43' N,78°40' W,USA,OTC,mg N kg-1 soil,Nitrogen + O3,Fig. 4; Sum across layers,*,Yes,Cropland,June,0.8713,0.9798,0.0494,0.0834,4,4,0.1174,0.0026,,110.1449,128.2609,11.0145,12.8261,4,4,0.1523,0.005,,*,*,*,*,*,*,*,*
Cheng et al. 2001,17,374.5,683.5,309,0.3,*,*,Japan,GC,Mg N Kg-1 soil,Fertilizer,Fig. 3; Sum across layers,*,Yes,Cropland,Rice,115.2802,128.3051,3.6819,3.4269,3,3,0.107,0.0006,,8.6957,13.0435,0.8696,1.3043,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Dijkstra et al. 2005,18,372,560,188,4.0,45° N,93° W,USA,FACE,mg kg-1 d-1,Nitrogen,Fig. 3; using Qi's data,*,Yes,Grassland,Abandoned agricultural field,0.1568,0.1245,0.1633,0.1505,98,98,-0.2307,0.026,,33.3333,50,3.3333,5,4,4,0.4055,0.005,,*,*,*,*,*,*,*,*
Drake et al. 2012,19,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil  28days-1,No,Fig. 3,*,No,Forest,*,2.7178,3.5540,2.0906,2.6481,4,4,0.2683,0.2867,,42.7536,50,4.2754,5,4,4,0.1566,0.005,,*,*,*,*,*,*,*,*
Drake et al. 2012,20,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil  28days-1,Nitrogen,Fig. 3,*,Yes,Forest,*,8.0139,3.9024,1.6725,2.2300,4,4,-0.7196,0.0925,,50,59.4203,5,5.942,4,4,0.1726,0.005,,*,*,*,*,*,*,*,*
Drake et al. 2012,21,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil  28days-1,Trench,Fig. 3,*,No,Forest,*,10.1045,7.1777,1.5331,5.7143,4,4,-0.342,0.1642,,13.0435,13.0435,1.3043,1.3043,4,4,0,0.005,,*,*,*,*,*,*,*,*
Drake et al. 2012,22,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil  28days-1,Nitrogen + Trench,Fig. 3,*,Yes,Forest,*,8.3624,5.4355,1.5331,0.8362,4,4,-0.4308,0.0143,,33.3333,42.029,3.3333,4.2029,4,4,0.2318,0.005,,*,*,*,*,*,*,*,*
Finzi & Schlesinger 2003,23,365,560,195,5.0,35°58' N,79°5' W,USA,FACE,μg N g-1 dry soil,No,Fig. 1B,*,No,Forest,Pine,1.7342,2.0439,0.6206,0.8054,3,3,0.1643,0.0944,,34.7826,42.7536,3.4783,4.2754,4,4,0.2063,0.005,,*,*,*,*,*,*,*,*
Gill et al. 2006,24,275,455,180,3.9,31°05' N,97°20' W,USA,GC,g N m-2 land d-1,No,Fig. 1d,*,No,Grassland,Grass,0.0385,0.0213,0.0173,0.0171,10,10,-0.592,0.0846,,47.1014,62.3188,4.7101,6.2319,4,4,0.28,0.005,,*,*,*,*,*,*,*,*
Gloser et al. 2000,25,350,600,250,5.0,47°27'N,8°41'E,Switzerland,FACE,mg kg-1 d-1,Nitrogen,Average across dates,Low N,Yes,Grassland,Lolium perenne,0.9800,0.9300,1.2012,1.2012,3,3,-0.0524,1.0569,,90.4,175.7,130.4234,204.0356,3,3,0.6645,1.1433,,*,*,*,*,*,*,*,*
Gloser et al. 2000,26,350,600,250,5.0,47°27'N,8°41'E,Switzerland,FACE,mg kg-1 d-1,Nitrogen,Average across dates,High N,Yes,Grassland,Lolium perenne,1.5050,1.6700,1.2012,1.2012,3,3,0.104,0.3848,,0.4,8.3,0.6928,11.0851,3,3,3.0325,1.5945,,*,*,*,*,*,*,*,*
Hungate et al. 1997 (Biogeochemestry),27,360,710,350,1.0,37°24' N,122°13' W,USA,OTC,μg N d-1 g-1 dry soil,No,Fig.4,*,No,Grassland,*,1.0588,0.9265,0.6484,0.6484,6,6,-0.1335,0.1441,,27.8,27.5,9.6,11.4,4,4,-0.0109,0.0728,,*,*,*,*,*,*,*,*
Hungate et al. 1997 (Biogeochemestry),28,360,710,350,1.0,37°24' N,122°13' W,USA,OTC,μg N d-1 g-1 dry soil,Fertilizer,Fig.4,*,Yes,Grassland,*,4.3676,4.6324,1.6210,1.6210,6,6,0.0589,0.0434,,22.8,22,6.6,6,4,4,-0.0357,0.0395,,*,*,*,*,*,*,*,*
Iverson et al. 2012,29,396,565,169,12.0,35°54' N,84°20' W,USA,FACE,mg N m-3 day-1,No,Table 2,*,No,Forest,Liquidambar styraciflua L.,-62.0000,-60.0000,8.1548,15.7099,3,2,*,*,,,,,,,,,,,,,,,,,,
Johnson et al. 2004,30,350,542,192,2.0,35°54' N,84°20' W,USA,FACE,mg kg-1,No,Table 7,Average of the three measurements,No,Forest,*,6.5133,4.7133,2.5527,1.6967,3,2,-0.3235,0.116,,,,,,,,,,,,,,,,,,
Kampichler et al. 1998,31,*,*,200,1.1,*,*,*,GC,mg N g-1 soil  7d-1,No,Fig. 2d,Average across runs,No,Grassland,*,23.3491,23.2311,1.7408,1.9222,7,7,-0.0051,0.0018,,,,,,,,,,,,,,,,,,
Langley et al. 2009,32,*,*,350,6.0,28°38' N,80°42' W,USA,OTC,μg N g-1 d-1,No,Fig. 1a,Sum across depths,No,Forest,Oaks,0.1171,0.2526,0.1686,0.1632,8,8,0.7688,0.3113,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,33,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,No,Table 1,Sum across fauna,No,Heathland,*,4.9930,6.0750,1.8841,2.2722,6,6,0.1961,0.047,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,34,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,Drought,Table 1,Sum across fauna,No,Heathland,*,4.2300,6.5630,1.4135,2.5659,6,6,0.4392,0.0441,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,35,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,Warming,Table 1,Sum across fauna,No,Heathland,*,4.8590,5.4420,3.1204,3.2550,6,6,0.1133,0.1284,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,36,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,Warming + Drought,Table 1,Sum across fauna,No,Heathland,*,4.4120,4.1720,1.3613,1.2429,6,6,-0.0559,0.0307,,,,,,,,,,,,,,,,,,
McKinley et al. 2009,37,*,*,350,11.0,28°38' N,80°42' W,USA,OTC,mg N g-1 soil,No,Fig. 1e-h; sum across layers in 2007,*,No,Forest,Evergreen,0.1884,0.2633,0.0824,0.0753,8,8,0.3347,0.0341,,,,,,,,,,,,,,,,,,
Mikan et al. 2000,38,367,715,348,2.0,45°34' N,84°40' W,USA,OTC,mg N g-1 soil  d-1,Nitrogen,From Zak et al. 2000 (New Phytologist; Table 6),20 mg N; Low-N soil,Yes,Forest,P. tremuloides,0.2200,0.2200,0.0220,0.0220,8,8,0,0.0025,,,,,,,,,,,,,,,,,,
Mikan et al. 2000,39,367,715,348,2.0,45°34' N,84°40' W,USA,OTC,mg N g-1 soil  d-1,Nitrogen,From Zak et al. 2000 (New Phytologist; Table 6),20 mg N; High-N soil,Yes,Forest,P. tremuloides,0.3200,0.5000,0.0320,0.0500,8,8,0.4463,0.0025,,,,,,,,,,,,,,,,,,
Newton et al. 1995,40,350,700,350,2.0,*,*,*,GC,mg N g-1 soil  d-1,No,Table 3; From Zak et al. 2000 (New Phytologist; Table 6),*,No,Grassland,*,2.3900,2.3000,0.2390,0.2300,6,6,-0.0384,0.0033,,,,,,,,,,,,,,,,,,
Niklaus et al. 2003,41,360,600,240,6.0,47°33' N,7°34' E,Switzerland,OTC,mg N g-1 soil d-1,No,Table 2,*,No,Grassland,*,11.1000,13.2000,2.4440,1.9893,8,8,0.1733,0.0089,,,,,,,,,,,,,,,,,,
Phillips et al. 2012,42,365,560,195,13.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil  d-1,Nitrogen,Fig. 3a,5.6 g N m-2 yr-1; this is the average of 0 and 11.2,Yes,Forest,loblolly pine,0.105084746,0.143644068,0.077701282,0.075247366,6,6,0.3126,0.1369,,,,,,,,,,,,,,,,,,
Prior et al. 1997,43,370,550,180,2.0,33°10' N,112°0' W,USA,FACE,mg N g-1 soil  d-1,Fertillizer,Table 2; From Zak et al. 2000 (New Phytologist; Table 6),214 kg N ha-1,Yes,Cropland,Wheat,0.4100,0.3700,0.0410,0.0370,4,4,-0.1027,0.005,,,,,,,,,,,,,,,,,,
Reich & Hobbie 2013,44,368,560,192,12.0,45° N,93° W,USA,FACE,mg N kg-1 soil days-1,Biodiversity,Fig. S1b,*,No,Grassland,*,0.0735,0.0652,0.0037,0.0043,3,3,-0.1198,0.0023,,,,,,,,,,,,,,,,,,
