study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Aranjuelo et al. 2011,1,350,700,350,0.6,*,*,Canada,GC,g plant-1,No,Table 1 * Fig. 3,*,No,Forest,Evergreen Broadleaf,0.2237,0.2519,0.0527,0.0668,8,8,0.1187,0.0157,,0.2237,0.2519,0.0527,0.0668,8,8,0.1187,0.0157,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,2,350,650,300,0.1,*,*,USA,GC,mg,Nitrogen,Table 4,*,Yes,Forest,Broadleaf,5.3000,7.7000,1.7889,3.6373,5,3,0.3735,0.0972,,5.3000,7.7000,1.7889,3.6373,5,3,0.3735,0.0972,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,3,350,650,300,0.1,*,*,USA,GC,mg,Nodulation,Table 4,*,No,Forest,Broadleaf,10.5000,10.4000,1.1180,3.3541,5,5,-0.0096,0.0231,,10.5000,10.4000,1.1180,3.3541,5,5,-0.0096,0.0231,,*,*,*,*,*,*,*,*
Arnone & Gordon 1990,4,350,650,300,0.1,*,*,USA,GC,mg,Nodulation + Nitrogen,Table 4,*,Yes,Forest,Broadleaf,17.8000,35.5000,4.2485,11.6047,5,3,0.6903,0.047,,17.8000,35.5000,4.2485,11.6047,5,3,0.6903,0.047,,*,*,*,*,*,*,*,*
Azam et al. 2013,5,400,1000,600,1.0,*,*,*,GC,mg N plant-1,Fertilizer,Table 1 * Table 3,*,Yes,Cropland,Carrot,801.8400,1028.6640,15.0345,9.6084,5,5,0.2491,0.0001,,801.8400,1028.6640,15.0345,9.6084,5,5,0.2491,0.0001,,*,*,*,*,*,*,*,*
Azam et al. 2013,6,400,1000,600,1.0,*,*,*,GC,mg N plant-1,Fertilizer,Table 1 * Table 3,*,Yes,Cropland,Turnip,396.8510,561.7350,6.2426,12.3120,5,5,0.3475,0.0001,,396.8510,561.7350,6.2426,12.3120,5,5,0.3475,0.0001,,*,*,*,*,*,*,*,*
Bader et al. 2009,7,380,550,170,6.0,47°28' N,7°30' E,Switzerland,FACE,g N m-2 land,No,Table 2 * Fig.2,*,No,Forest,*,2.1398,1.5962,0.2550,0.2011,14,12,-0.2931,0.0023,,*,*,*,*,*,*,*,*,,2.1398,1.5962,0.2550,0.2011,14,12,-0.2931,0.0023
Barnard et al. 2004 (NP),8,365,665,300,1.3,*,*,*,GC,g N m-2 land,No,Fig.2c,*,No,Grassland,Holcus,2.5464,3.1207,0.3623,0.2333,6,6,0.2034,0.0043,,2.5464,3.1207,0.3623,0.2333,6,6,0.2034,0.0043,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),9,365,665,300,1.3,*,*,*,GC,g N m-2 land,No,Fig.6c,*,No,Grassland,Festuca,3.0027,4.7721,0.7880,1.3134,6,6,0.4633,0.0241,,3.0027,4.7721,0.7880,1.3134,6,6,0.4633,0.0241,,*,*,*,*,*,*,*,*
Billes et al. 1993,10,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer without N,Table 1,*,No,Cropland,Wheat,6.3798,8.8266,0.6380,0.8827,4,4,0.3246,0.005,,6.3798,8.8266,0.6380,0.8827,4,4,0.3246,0.005,,*,*,*,*,*,*,*,*
Billes et al. 1993,11,350,700,350,0.1,*,*,*,GC,mg pot-1,Fertillizer witht N,Table 1,50 kg N ha-1; from Zak et al. 2000 (New Phytologist; Table 6),Yes,Cropland,Wheat,8.421,10.7038,0.8421,1.0704,4,4,0.2399,0.005,,8.421,10.7038,0.8421,1.0704,4,4,0.2399,0.005,,*,*,*,*,*,*,*,*
Bloor et al. 2009,12,380,645,265,0.3,*,*,France,GC,mg,No,Fig. 1; Fraxinus without competition,No COMP,No,Grassland,*,1.9459,1.8533,1.1349,0.4540,6,6,-0.0488,0.0667,,1.9459,1.8533,1.1349,0.4540,6,6,-0.0488,0.0667,,*,*,*,*,*,*,*,*
Bloor et al. 2009,13,380,645,265,0.3,*,*,France,GC,mg,No,Table 1 and Fig. 1; Sum of the two plants,COMP,No,Grassland,*,113.1243,139.0170,30.3741,35.5178,6,6,0.2061,0.0229,,113.1243,139.0170,30.3741,35.5178,6,6,0.2061,0.0229,,*,*,*,*,*,*,*,*
Bloor et al. 2009,14,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Fig. 1; Fraxinus without competition,No COMP,Yes,Grassland,*,2.1081,2.9421,0.6809,0.9079,6,6,0.3333,0.0333,,2.1081,2.9421,0.6809,0.9079,6,6,0.3333,0.0333,,*,*,*,*,*,*,*,*
Bloor et al. 2009,15,380,645,265,0.3,*,*,France,GC,mg,Nitrogen,Table 1 and Fig. 1; Sum of the two plants,COMP,Yes,Grassland,*,49.1012,51.6243,9.1128,10.0959,6,6,0.0501,0.0121,,49.1012,51.6243,9.1128,10.0959,6,6,0.0501,0.0121,,*,*,*,*,*,*,*,*
